id,title,description,price,category,image_url,image_matches_text,label
6,Pressure Washer for Rent - Excellent Condition,Well-maintained pressure washer available for rent. Suitable for home or professional use. Daily price: 81. Delivery possible. Contact to reserve.,35,Cleaning Equipment,https://source.unsplash.com/800x600/?pressure%20washer,1,0
67,Circular Saw for rent - contact to claim your prize,Send email to claim this offer. Limited time only! Pictures may not match the actual item.,1,Power Tools,https://source.unsplash.com/800x600/?gift%20card,0,1
66,FREE IMPACT WRENCH GIVEAWAY - Click to Claim,Send email to claim this offer. Limited time only! Pictures may not match the actual item.,68,Power Tools,https://source.unsplash.com/800x600/?airpods,0,1
36,Wet Dry Vacuum for Rent - Excellent Condition,Well-maintained wet dry vacuum available for rent. Suitable for home or professional use. Daily price: 80. Delivery possible. Contact to reserve.,11,Cleaning Equipment,https://source.unsplash.com/800x600/?wet%20dry%20vacuum,1,0
17,Generator for Rent - Excellent Condition,Well-maintained generator available for rent. Suitable for home or professional use. Daily price: 47. Delivery possible. Contact to reserve.,20,Other,https://source.unsplash.com/800x600/?generator,1,0
50,Floor Scrubber for Rent - Excellent Condition,Well-maintained floor scrubber available for rent. Suitable for home or professional use. Daily price: 37. Delivery possible. Contact to reserve.,79,Cleaning Equipment,https://source.unsplash.com/800x600/?floor%20scrubber,1,0
35,Rototiller for Rent - Excellent Condition,Well-maintained rototiller available for rent. Suitable for home or professional use. Daily price: 86. Delivery possible. Contact to reserve.,69,Garden Tools,https://source.unsplash.com/800x600/?rototiller,1,0
8,Wrench Set for Rent - Excellent Condition,Well-maintained wrench set available for rent. Suitable for home or professional use. Daily price: 85. Delivery possible. Contact to reserve.,45,Hand Tools,https://source.unsplash.com/800x600/?wrench%20set,1,0
96,Generator for rent - contact to claim your prize,Send email to claim this offer. Limited time only! Pictures may not match the actual item.,167,Other,https://source.unsplash.com/800x600/?luxury%20watch,0,1
28,Air Compressor for Rent - Excellent Condition,Well-maintained air compressor available for rent. Suitable for home or professional use. Daily price: 28. Delivery possible. Contact to reserve.,43,Other,https://source.unsplash.com/800x600/?air%20compressor,1,0
20,Scaffold for Rent - Excellent Condition,Well-maintained scaffold available for rent. Suitable for home or professional use. Daily price: 44. Delivery possible. Contact to reserve.,19,Construction,https://source.unsplash.com/800x600/?scaffold,1,0
82,Unbelievable Deal on Angle Grinder - Pay Only Shipping,Contact now to claim this offer. Limited time only! Pictures may not match the actual item.,176,Power Tools,https://source.unsplash.com/800x600/?win,0,1
26,Impact Wrench for Rent - Excellent Condition,Well-maintained impact wrench available for rent. Suitable for home or professional use. Daily price: 82. Delivery possible. Contact to reserve.,50,Power Tools,https://source.unsplash.com/800x600/?impact%20wrench,1,0
63,Earn money fast! Rent this garden shredder and get paid,Click here to claim this offer. Limited time only! Pictures may not match the actual item.,1,Garden Tools,https://source.unsplash.com/800x600/?win,0,1
14,Lawn Mower for Rent - Excellent Condition,Well-maintained lawn mower available for rent. Suitable for home or professional use. Daily price: 80. Delivery possible. Contact to reserve.,47,Garden Tools,https://source.unsplash.com/800x600/?lawn%20mower,1,0
25,Sander for Rent - Excellent Condition,Well-maintained sander available for rent. Suitable for home or professional use. Daily price: 61. Delivery possible. Contact to reserve.,44,Power Tools,https://source.unsplash.com/800x600/?sander,1,0
4,Floor Scrubber for Rent - Excellent Condition,Well-maintained floor scrubber available for rent. Suitable for home or professional use. Daily price: 14. Delivery possible. Contact to reserve.,13,Cleaning Equipment,https://source.unsplash.com/800x600/?floor%20scrubber,1,0
18,Hammer for Rent - Excellent Condition,Well-maintained hammer available for rent. Suitable for home or professional use. Daily price: 58. Delivery possible. Contact to reserve.,45,Hand Tools,https://source.unsplash.com/800x600/?hammer,1,0
39,Hedge Trimmer for Rent - Excellent Condition,Well-maintained hedge trimmer available for rent. Suitable for home or professional use. Daily price: 68. Delivery possible. Contact to reserve.,10,Garden Tools,https://source.unsplash.com/800x600/?hedge%20trimmer,1,0
9,Angle Grinder for Rent - Excellent Condition,Well-maintained angle grinder available for rent. Suitable for home or professional use. Daily price: 64. Delivery possible. Contact to reserve.,53,Power Tools,https://source.unsplash.com/800x600/?angle%20grinder,1,0
79,Win an iPad when you rent this carpet cleaner,Click here to claim this offer. Limited time only! Pictures may not match the actual item.,1,Cleaning Equipment,https://source.unsplash.com/800x600/?iphone,0,1
7,Paint Sprayer for Rent - Excellent Condition,Well-maintained paint sprayer available for rent. Suitable for home or professional use. Daily price: 79. Delivery possible. Contact to reserve.,63,Other,https://source.unsplash.com/800x600/?paint%20sprayer,1,0
65,Carpet Cleaner for rent - contact to claim your prize,Click here to claim this offer. Limited time only! Pictures may not match the actual item.,0,Cleaning Equipment,https://source.unsplash.com/800x600/?airpods,0,1
37,Paint Sprayer for Rent - Excellent Condition,Well-maintained paint sprayer available for rent. Suitable for home or professional use. Daily price: 24. Delivery possible. Contact to reserve.,78,Other,https://source.unsplash.com/800x600/?paint%20sprayer,1,0
90,Unbelievable Deal on Ladder - Pay Only Shipping,Send email to claim this offer. Limited time only! Pictures may not match the actual item.,85,Construction,https://source.unsplash.com/800x600/?free%20money,0,1
57,Earn money fast! Rent this ladder and get paid,Send email to claim this offer. Limited time only! Pictures may not match the actual item.,18,Construction,https://source.unsplash.com/800x600/?free%20money,0,1
100,FREE PAINT SPRAYER GIVEAWAY - Click to Claim,Contact now to claim this offer. Limited time only! Pictures may not match the actual item.,0,Other,https://source.unsplash.com/800x600/?contest,0,1
55,Air Compressor for rent - contact to claim your prize,Click here to claim this offer. Limited time only! Pictures may not match the actual item.,190,Other,https://source.unsplash.com/800x600/?airpods,0,1
44,Pressure Washer for Rent - Excellent Condition,Well-maintained pressure washer available for rent. Suitable for home or professional use. Daily price: 86. Delivery possible. Contact to reserve.,51,Cleaning Equipment,https://source.unsplash.com/800x600/?pressure%20washer,1,0
51,Unbelievable Deal on Paint Sprayer - Pay Only Shipping,Contact now to claim this offer. Limited time only! Pictures may not match the actual item.,176,Other,https://source.unsplash.com/800x600/?luxury%20watch,0,1
68,Unbelievable Deal on Chisel Set - Pay Only Shipping,Click here to claim this offer. Limited time only! Pictures may not match the actual item.,1,Hand Tools,https://source.unsplash.com/800x600/?vacation,0,1
47,Pressure Washer for Rent - Excellent Condition,Well-maintained pressure washer available for rent. Suitable for home or professional use. Daily price: 20. Delivery possible. Contact to reserve.,72,Cleaning Equipment,https://source.unsplash.com/800x600/?pressure%20washer,1,0
69,Earn money fast! Rent this paint sprayer and get paid,Contact now to claim this offer. Limited time only! Pictures may not match the actual item.,0,Other,https://source.unsplash.com/800x600/?iphone,0,1
62,FREE ANGLE GRINDER GIVEAWAY - Click to Claim,Contact now to claim this offer. Limited time only! Pictures may not match the actual item.,1,Power Tools,https://source.unsplash.com/800x600/?gift%20card,0,1
98,Impact Wrench for rent - contact to claim your prize,Click here to claim this offer. Limited time only! Pictures may not match the actual item.,1,Power Tools,https://source.unsplash.com/800x600/?airpods,0,1
80,Win an Luxury Watch when you rent this scaffold,Send email to claim this offer. Limited time only! Pictures may not match the actual item.,1,Construction,https://source.unsplash.com/800x600/?contest,0,1
42,Concrete Vibrator for Rent - Excellent Condition,Well-maintained concrete vibrator available for rent. Suitable for home or professional use. Daily price: 87. Delivery possible. Contact to reserve.,35,Construction,https://source.unsplash.com/800x600/?concrete%20vibrator,1,0
59,Earn money fast! Rent this floor scrubber and get paid,Click here to claim this offer. Limited time only! Pictures may not match the actual item.,1,Cleaning Equipment,https://source.unsplash.com/800x600/?win,0,1
49,Carpet Cleaner for Rent - Excellent Condition,Well-maintained carpet cleaner available for rent. Suitable for home or professional use. Daily price: 43. Delivery possible. Contact to reserve.,77,Cleaning Equipment,https://source.unsplash.com/800x600/?carpet%20cleaner,1,0
99,Earn money fast! Rent this chisel set and get paid,Contact now to claim this offer. Limited time only! Pictures may not match the actual item.,0,Hand Tools,https://source.unsplash.com/800x600/?vacation,0,1
58,Unbelievable Deal on Chainsaw - Pay Only Shipping,Click here to claim this offer. Limited time only! Pictures may not match the actual item.,0,Power Tools,https://source.unsplash.com/800x600/?win,0,1
76,FREE CHAINSAW GIVEAWAY - Click to Claim,Click here to claim this offer. Limited time only! Pictures may not match the actual item.,0,Power Tools,https://source.unsplash.com/800x600/?gift%20card,0,1
33,Angle Grinder for Rent - Excellent Condition,Well-maintained angle grinder available for rent. Suitable for home or professional use. Daily price: 90. Delivery possible. Contact to reserve.,30,Power Tools,https://source.unsplash.com/800x600/?angle%20grinder,1,0
95,Win an iPad when you rent this rototiller,Send email to claim this offer. Limited time only! Pictures may not match the actual item.,126,Garden Tools,https://source.unsplash.com/800x600/?vacation,0,1
60,FREE CONCRETE SAW GIVEAWAY - Click to Claim,Click here to claim this offer. Limited time only! Pictures may not match the actual item.,171,Power Tools,https://source.unsplash.com/800x600/?iphone,0,1
64,Unbelievable Deal on Drill - Pay Only Shipping,Click here to claim this offer. Limited time only! Pictures may not match the actual item.,17,Power Tools,https://source.unsplash.com/800x600/?lottery,0,1
85,FREE LEAF BLOWER GIVEAWAY - Click to Claim,Contact now to claim this offer. Limited time only! Pictures may not match the actual item.,94,Garden Tools,https://source.unsplash.com/800x600/?contest,0,1
38,Jackhammer for Rent - Excellent Condition,Well-maintained jackhammer available for rent. Suitable for home or professional use. Daily price: 24. Delivery possible. Contact to reserve.,47,Construction,https://source.unsplash.com/800x600/?jackhammer,1,0
30,Concrete Vibrator for Rent - Excellent Condition,Well-maintained concrete vibrator available for rent. Suitable for home or professional use. Daily price: 64. Delivery possible. Contact to reserve.,84,Construction,https://source.unsplash.com/800x600/?concrete%20vibrator,1,0
2,Screwdriver Set for Rent - Excellent Condition,Well-maintained screwdriver set available for rent. Suitable for home or professional use. Daily price: 27. Delivery possible. Contact to reserve.,23,Hand Tools,https://source.unsplash.com/800x600/?screwdriver%20set,1,0
53,Win an Luxury Watch when you rent this impact wrench,Click here to claim this offer. Limited time only! Pictures may not match the actual item.,23,Power Tools,https://source.unsplash.com/800x600/?iphone,0,1
22,Wrench Set for Rent - Excellent Condition,Well-maintained wrench set available for rent. Suitable for home or professional use. Daily price: 58. Delivery possible. Contact to reserve.,44,Hand Tools,https://source.unsplash.com/800x600/?wrench%20set,1,0
3,Paint Sprayer for Rent - Excellent Condition,Well-maintained paint sprayer available for rent. Suitable for home or professional use. Daily price: 79. Delivery possible. Contact to reserve.,21,Other,https://source.unsplash.com/800x600/?paint%20sprayer,1,0
24,Air Compressor for Rent - Excellent Condition,Well-maintained air compressor available for rent. Suitable for home or professional use. Daily price: 17. Delivery possible. Contact to reserve.,39,Other,https://source.unsplash.com/800x600/?air%20compressor,1,0
88,FREE GARDEN SHREDDER GIVEAWAY - Click to Claim,Contact now to claim this offer. Limited time only! Pictures may not match the actual item.,0,Garden Tools,https://source.unsplash.com/800x600/?gift%20card,0,1
92,Win an Luxury Watch when you rent this air compressor,Click here to claim this offer. Limited time only! Pictures may not match the actual item.,112,Other,https://source.unsplash.com/800x600/?bitcoin,0,1
75,Unbelievable Deal on Chisel Set - Pay Only Shipping,Send email to claim this offer. Limited time only! Pictures may not match the actual item.,1,Hand Tools,https://source.unsplash.com/800x600/?iphone,0,1
87,Cement Mixer for rent - contact to claim your prize,Contact now to claim this offer. Limited time only! Pictures may not match the actual item.,93,Construction,https://source.unsplash.com/800x600/?luxury%20watch,0,1
83,FREE SCAFFOLD GIVEAWAY - Click to Claim,Contact now to claim this offer. Limited time only! Pictures may not match the actual item.,1,Construction,https://source.unsplash.com/800x600/?win,0,1
21,Carpet Cleaner for Rent - Excellent Condition,Well-maintained carpet cleaner available for rent. Suitable for home or professional use. Daily price: 78. Delivery possible. Contact to reserve.,41,Cleaning Equipment,https://source.unsplash.com/800x600/?carpet%20cleaner,1,0
61,Earn money fast! Rent this impact wrench and get paid,Contact now to claim this offer. Limited time only! Pictures may not match the actual item.,0,Power Tools,https://source.unsplash.com/800x600/?bitcoin,0,1
72,Unbelievable Deal on Garden Shredder - Pay Only Shipping,Send email to claim this offer. Limited time only! Pictures may not match the actual item.,172,Garden Tools,https://source.unsplash.com/800x600/?iphone,0,1
15,Paint Sprayer for Rent - Excellent Condition,Well-maintained paint sprayer available for rent. Suitable for home or professional use. Daily price: 56. Delivery possible. Contact to reserve.,83,Other,https://source.unsplash.com/800x600/?paint%20sprayer,1,0
93,Paint Sprayer for rent - contact to claim your prize,Send email to claim this offer. Limited time only! Pictures may not match the actual item.,1,Other,https://source.unsplash.com/800x600/?contest,0,1
52,FREE GARDEN SHREDDER GIVEAWAY - Click to Claim,Click here to claim this offer. Limited time only! Pictures may not match the actual item.,0,Garden Tools,https://source.unsplash.com/800x600/?luxury%20watch,0,1
